taxon,dlc_id,hybrid,sex,name,current_resident,stud_book,dob,birth_month,estimated_dob,birth_type,birth_institution,litter_size,expected_gestation,estimated_concep,concep_month,dam_id,dam_name,dam_taxon,dam_dob,dam_age_at_concep_y,sire_id,sire_name,sire_taxon,sire_dob,sire_age_at_concep_y,dod,age_at_death_y,age_of_living_y,age_last_verified_y,age_max_live_or_dead_y,n_known_offspring,dob_estimated,weight_g,weight_date,month_of_weight,age_at_wt_d,age_at_wt_wk,age_at_wt_mo,age_at_wt_mo_no_dec,age_at_wt_y,change_since_prev_wt_g,days_since_prev_wt,avg_daily_wt_change_g,days_before_death,r_min_dam_age_at_concep_y,age_category,preg_status,expected_gestation_d,concep_date_if_preg,infant_dob_if_preg,days_before_inf_birth_if_preg,pct_preg_remain_if_preg,infant_lit_sz_if_preg
ERUF,5841,N,F,BARBAROSA,N,1058,1984-03-16,3,NA,CB,Duke Lemur Center,1,120,1983-11-17,11,5670,ALIZARIN,ERUF,1982-04-05,1.62,5567,REDCAP,ERUF,1981-02-26,2.72,NA,NA,NA,11.95,11.95,7,NA,2377,1992-10-07,10,3127,446.71,102.81,102,8.57,-13,78,-0.17,NA,1.55,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,5843,N,F,INFRARED,N,1059,1984-03-17,3,NA,CB,Duke Lemur Center,1,120,1983-11-18,11,4502,OCHRE,ERUF,1968-10-01,15.14,5820,L.P.,ERUF,1966-03-22,17.67,NA,NA,NA,4.22,4.22,1,NA,2583,1987-08-28,8,1259,179.86,41.39,41,3.45,431,511,0.84,NA,1.55,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,5863,N,F,RED HOT,N,1072,1984-03-29,3,NA,CB,Duke Lemur Center,1,120,1983-11-30,11,5660,HENNA,ERUF,1982-03-17,1.71,5820,L.P.,ERUF,1966-03-22,17.7,2008-06-19,24.24,NA,NA,24.24,NA,NA,2052,1986-04-04,4,736,105.14,24.2,24,2.02,277,109,2.54,8112,1.55,young_adult,NP,NA,NA,NA,NA,NA,NA
ERUF,587,N,F,HEBE,N,333,1971-04-13,4,NA,CB,Duke Lemur Center,1,120,1970-12-14,12,510,CALO,ERUF,1958-10-01,12.21,515,THURBER,ERUF,1958-10-01,12.21,NA,NA,NA,23.66,23.66,3,NA,1580,1972-03-29,3,351,50.14,11.54,11,0.96,NA,NA,NA,NA,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,5874,N,F,SATURNILLA,N,118,1984-04-06,4,NA,CB,Duke Lemur Center,1,103,1983-12-25,12,524,SATURNA,VRUB,1959-10-01,24.25,3569,JUPITER,VRUB,1978-04-21,5.68,1989-07-26,5.31,NA,NA,5.31,3,NA,2238,1985-03-03,3,331,47.29,10.88,10,0.91,431,11,39.18,1606,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,5888,N,F,NERIED,N,124,1984-04-22,4,NA,CB,Duke Lemur Center,3,103,1984-01-10,1,5630,HIMALIA,VRUB,1981-05-19,2.65,3530,TELLUS,VRUB,1975-05-17,8.66,1994-10-26,10.52,NA,NA,10.52,NA,NA,717,1984-06-27,6,66,9.43,2.17,2,0.18,230,9,25.56,3773,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,5889,N,F,NEPTUNIA,N,125,1984-04-22,4,NA,CB,Duke Lemur Center,3,103,1984-01-10,1,5630,HIMALIA,VRUB,1981-05-19,2.65,3530,TELLUS,VRUB,1975-05-17,8.66,1994-06-01,10.12,NA,NA,10.12,NA,NA,3087,1985-05-30,5,403,57.57,13.25,13,1.1,1889,311,6.07,3289,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,5899,N,M,CETUS,N,141,1984-04-29,4,NA,CB,Duke Lemur Center,2,103,1984-01-17,1,5587,CYNTHIA,VRUB,1981-03-30,2.8,3569,JUPITER,VRUB,1978-04-21,5.75,2010-04-19,25.99,NA,NA,25.99,NA,NA,2792,1986-11-21,11,936,133.71,30.77,30,2.56,573,581,0.99,8550,1.65,young_adult,NP,NA,NA,NA,NA,NA,NA
VRUB,5900,N,F,CARME,N,142,1984-04-29,4,NA,CB,Duke Lemur Center,2,103,1984-01-17,1,5587,CYNTHIA,VRUB,1981-03-30,2.8,3569,JUPITER,VRUB,1978-04-21,5.75,2014-06-01,30.11,NA,NA,30.11,8,NA,2679,1985-04-19,4,355,50.71,11.67,11,0.97,NA,NA,NA,10635,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,5930,N,M,ALPHA CENTAURI,N,145,1984-05-14,5,NA,CB,Duke Lemur Center,3,103,1984-02-01,2,5539,DIANA,VRUB,1980-05-04,3.75,5827,NOVA,VRUB,1980-05-11,3.73,1990-08-22,6.28,NA,NA,6.28,NA,NA,3619,1989-10-17,10,1982,283.14,65.16,65,5.43,1063,84,12.65,309,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,5931,N,F,OMEGA,N,146,1984-05-14,5,NA,CB,Duke Lemur Center,3,103,1984-02-01,2,5539,DIANA,VRUB,1980-05-04,3.75,5827,NOVA,VRUB,1980-05-11,3.73,2004-10-17,20.44,NA,NA,20.44,NA,NA,2447,1985-04-15,4,336,48,11.05,11,0.92,NA,NA,NA,7125,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,5932,N,F,ALPHECCA,N,147,1984-05-14,5,NA,CB,Duke Lemur Center,3,103,1984-02-01,2,5539,DIANA,VRUB,1980-05-04,3.75,5827,NOVA,VRUB,1980-05-11,3.73,2002-01-08,17.67,NA,NA,17.67,NA,NA,2684,1985-04-15,4,336,48,11.05,11,0.92,NA,NA,NA,6112,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,5963,N,F,BLAZE,N,1121,1985-03-09,3,NA,CB,Duke Lemur Center,1,120,1984-11-09,11,5783,RED LAKE,ERUF,1983-04-24,1.55,5728,REDROVER,ERUF,1982-03-01,2.7,NA,NA,NA,3.75,3.75,NA,NA,1698,1986-04-03,4,390,55.71,12.82,12,1.07,NA,NA,NA,NA,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
PCOQ,597,N,M,NIGEL,N,114,1972-02-10,2,NA,CB,Duke Lemur Center,1,160,1971-09-03,9,590,CHARLOTTE,PCOQ,1960-07-01,11.18,591,REGINALD,PCOQ,1965-07-01,6.18,2002-09-05,30.59,NA,NA,30.59,14,NA,3899.5,1982-01-07,1,3619,517,118.98,118,9.92,32,22,1.43,7546,2.64,adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,599,N,F,MANGO,N,116,1974-02-21,2,NA,CB,Duke Lemur Center,1,160,1973-09-14,9,593,EDITH,PCOQ,1966-07-01,7.21,592,SACHEVERELL,PCOQ,1966-07-01,7.21,1975-10-29,1.68,NA,NA,1.68,NA,NA,2010,1974-10-10,10,231,33,7.59,7,0.63,1085,90,12.06,384,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,6000,N,M,URANUS,N,166,1985-04-25,4,NA,CB,Duke Lemur Center,1,103,1985-01-12,1,5539,DIANA,VRUB,1980-05-04,4.7,5827,NOVA,VRUB,1980-05-11,4.68,2006-01-06,20.72,NA,NA,20.72,NA,NA,2990,1995-02-24,2,3592,513.14,118.09,118,9.84,-40,178,-0.22,3969,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6001,N,M,CHARON,N,167,1985-04-27,4,NA,CB,Duke Lemur Center,2,103,1985-01-14,1,5699,PLUTONIA,VRUB,1982-05-08,2.69,3569,JUPITER,VRUB,1978-04-21,6.74,2012-07-31,27.28,NA,NA,27.28,NA,NA,3804,1988-06-30,6,1160,165.71,38.14,38,3.18,657,591,1.11,8797,1.65,young_adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6002,N,M,JANUS,N,168,1985-04-27,4,NA,CB,Duke Lemur Center,2,103,1985-01-14,1,5699,PLUTONIA,VRUB,1982-05-08,2.69,3569,JUPITER,VRUB,1978-04-21,6.74,2000-06-16,15.15,NA,NA,15.15,NA,NA,3628,1988-06-30,6,1160,165.71,38.14,38,3.18,737,415,1.77,4369,1.65,young_adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6008,N,F,IZAR,N,169,1985-05-03,5,NA,CB,Duke Lemur Center,3,103,1985-01-20,1,4575,VENUS II,VRUB,1979-05-01,5.73,5560,PLUTO III,VRUB,1977-05-28,7.65,2018-06-14,33.14,NA,NA,33.14,NA,NA,3428,1986-10-29,10,544,77.71,17.88,17,1.49,717,355,2.02,11551,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,6009,N,F,ARA,N,170,1985-05-03,5,NA,CB,Duke Lemur Center,3,103,1985-01-20,1,4575,VENUS II,VRUB,1979-05-01,5.73,5560,PLUTO III,VRUB,1977-05-28,7.65,2010-11-21,25.57,NA,NA,25.57,NA,NA,3868,1992-01-28,1,2461,351.57,80.91,80,6.74,214,1625,0.13,6872,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6010,N,F,ANCHA,N,171,1985-05-03,5,NA,CB,Duke Lemur Center,3,103,1985-01-20,1,4575,VENUS II,VRUB,1979-05-01,5.73,5560,PLUTO III,VRUB,1977-05-28,7.65,2013-03-06,27.86,NA,NA,27.86,NA,NA,3680,1992-05-06,5,2560,365.71,84.16,84,7.01,-202,99,-2.04,7609,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6014,N,M,ALGOL,N,173,1985-05-05,5,NA,CB,Duke Lemur Center,3,103,1985-01-22,1,5630,HIMALIA,VRUB,1981-05-19,3.68,5769,POLLUX,VRUB,1983-04-16,1.77,2003-10-26,18.49,NA,NA,18.49,NA,NA,677,1985-08-05,8,92,13.14,3.02,3,0.25,161,34,4.74,6656,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,6015,N,M,MENKIB,N,174,1985-05-05,5,NA,CB,Duke Lemur Center,3,103,1985-01-22,1,5630,HIMALIA,VRUB,1981-05-19,3.68,5769,POLLUX,VRUB,1983-04-16,1.77,1995-06-22,10.14,NA,NA,10.14,NA,NA,3759,1988-01-18,1,988,141.14,32.48,32,2.71,327,420,0.78,2712,1.65,young_adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6016,N,F,COLUMBA,N,175,1985-05-05,5,NA,CB,Duke Lemur Center,3,103,1985-01-22,1,5630,HIMALIA,VRUB,1981-05-19,3.68,5769,POLLUX,VRUB,1983-04-16,1.77,2003-07-11,18.19,NA,NA,18.19,3,NA,3954,1987-12-15,12,954,136.29,31.36,31,2.61,409,124,3.3,5687,1.65,young_adult,NP,NA,NA,NA,NA,NA,NA
ERUF,6046,N,F,REDCOAT,N,1177,1986-03-04,3,NA,CB,Duke Lemur Center,1,120,1985-11-04,11,4507,ROUGE,ERUF,1977-02-27,8.69,5728,REDROVER,ERUF,1982-03-01,3.68,NA,NA,NA,2.25,2.25,NA,NA,2397,1988-05-23,5,811,115.86,26.66,26,2.22,2268,804,2.82,NA,1.55,young_adult,NP,NA,NA,NA,NA,NA,NA
ERUF,6055,N,F,FLARE,N,1182,1986-03-19,3,NA,CB,Duke Lemur Center,1,120,1985-11-19,11,1512,HEME,ERUF,1972-03-08,13.71,5529,SORREL,ERUF,1980-04-27,5.57,NA,NA,NA,32.67,32.67,5,NA,2229.5,1990-05-31,5,1534,219.14,50.43,50,4.2,214,71,3.01,NA,1.55,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,6060,N,M,COLORADO,N,1184,1986-03-22,3,NA,CB,Duke Lemur Center,1,120,1985-11-22,11,5730,EMBER,ERUF,1983-03-03,2.73,MULT3,NA,NA,NA,NA,1990-10-10,4.56,NA,NA,4.56,NA,NA,2410,1989-11-17,11,1336,190.86,43.92,43,3.66,NA,NA,NA,327,1.55,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6066,N,M,CEPHEUS,N,183,1986-03-30,3,NA,CB,Duke Lemur Center,4,103,1985-12-17,12,4575,VENUS II,VRUB,1979-05-01,6.64,5560,PLUTO III,VRUB,1977-05-28,8.56,1998-11-14,12.64,NA,NA,12.64,NA,NA,2633,1986-10-11,10,195,27.86,6.41,6,0.53,NA,NA,NA,4417,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,6067,N,M,KOCHAB,N,184,1986-03-30,3,NA,CB,Duke Lemur Center,4,103,1985-12-17,12,4575,VENUS II,VRUB,1979-05-01,6.64,5560,PLUTO III,VRUB,1977-05-28,8.56,2002-10-30,16.6,NA,NA,16.6,NA,NA,2965,1986-10-11,10,195,27.86,6.41,6,0.53,NA,NA,NA,5863,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,6068,N,F,LACERTA,N,185,1986-03-30,3,NA,CB,Duke Lemur Center,4,103,1985-12-17,12,4575,VENUS II,VRUB,1979-05-01,6.64,5560,PLUTO III,VRUB,1977-05-28,8.56,2008-02-21,21.91,NA,NA,21.91,NA,NA,3532,1987-12-05,12,615,87.86,20.22,20,1.68,803,420,1.91,7383,1.65,young_adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6069,N,F,COMA,N,186,1986-03-30,3,NA,CB,Duke Lemur Center,4,103,1985-12-17,12,4575,VENUS II,VRUB,1979-05-01,6.64,5560,PLUTO III,VRUB,1977-05-28,8.56,2005-01-25,18.84,NA,NA,18.84,1,NA,2565,1986-10-11,10,195,27.86,6.41,6,0.53,NA,NA,NA,6681,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,6070,N,M,REDSKIN,N,1190,1986-03-30,3,NA,CB,Duke Lemur Center,2,120,1985-11-30,11,5783,RED LAKE,ERUF,1983-04-24,2.61,5975,RUSTY II,ERUF,1983-04-29,2.59,2006-07-10,20.29,NA,NA,20.29,NA,NA,2128.5,1990-03-21,3,1452,207.43,47.74,47,3.98,144,124,1.16,5955,1.55,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,6113,N,F,ANNATO,N,1220,1986-06-23,6,NA,CB,Duke Lemur Center,1,120,1986-02-23,2,5740,ROSIE,ERUF,1983-03-20,2.93,5728,REDROVER,ERUF,1982-03-01,3.99,NA,NA,NA,1.98,1.98,NA,NA,1652,1987-08-26,8,429,61.29,14.1,14,1.18,NA,NA,NA,NA,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
PCOQ,6117,N,F,SABINA,N,136,1986-07-07,7,NA,CB,Duke Lemur Center,1,160,1986-01-28,1,6108,FLAVIA,PCOQ,1982-07-01,3.58,NA,NA,NA,NA,NA,1993-06-04,6.92,NA,NA,6.92,NA,NA,6969,1988-05-24,5,687,98.14,22.59,22,1.88,NA,NA,NA,1837,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
PCOQ,6133,N,M,CLAUDIUS,N,137,1986-12-05,12,NA,CB,Duke Lemur Center,1,160,1986-06-28,6,5703,CORNELIA,PCOQ,1977-07-01,9,5944,TRAJAN,PCOQ,1980-07-01,5.99,1987-03-28,0.31,NA,NA,0.31,NA,NA,312,1987-03-13,3,98,14,3.22,3,0.27,NA,NA,NA,15,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,6137,N,M,FLASH,N,1236,1987-03-18,3,NA,CB,Duke Lemur Center,1,120,1986-11-18,11,5843,INFRARED,ERUF,1984-03-17,2.67,5975,RUSTY II,ERUF,1983-04-29,3.56,NA,NA,NA,8.95,8.95,1,NA,2361,1991-10-04,10,1661,237.29,54.61,54,4.55,178,491,0.36,NA,1.55,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6160,N,M,LYNX,N,228,1987-04-15,4,NA,CB,Duke Lemur Center,3,103,1987-01-02,1,6016,COLUMBA,VRUB,1985-05-05,1.66,5790,JOVE,VRUB,1983-04-27,3.69,NA,NA,NA,31.72,31.72,NA,NA,2501.5,1987-12-08,12,237,33.86,7.79,7,0.65,700,117,5.98,NA,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,6161,N,F,PASIPHAE,N,229,1987-04-15,4,NA,CB,Duke Lemur Center,3,103,1987-01-02,1,6016,COLUMBA,VRUB,1985-05-05,1.66,5790,JOVE,VRUB,1983-04-27,3.69,1999-01-12,11.75,NA,NA,11.75,NA,NA,1716,1987-08-13,8,120,17.14,3.95,3,0.33,NA,NA,NA,4170,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,6162,N,F,MIAPLACIDUS,N,230,1987-04-15,4,NA,CB,Duke Lemur Center,3,103,1987-01-02,1,6016,COLUMBA,VRUB,1985-05-05,1.66,5790,JOVE,VRUB,1983-04-27,3.69,1997-11-05,10.57,NA,NA,10.57,NA,NA,4013,1991-07-24,7,1561,223,51.32,51,4.28,639,828,0.77,2296,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6169,N,M,CRATER,N,238,1987-04-20,4,NA,CB,Duke Lemur Center,3,103,1987-01-07,1,5630,HIMALIA,VRUB,1981-05-19,5.64,5790,JOVE,VRUB,1983-04-27,3.7,2018-04-04,30.98,NA,NA,30.98,NA,NA,3200,1992-06-11,6,1879,268.43,61.78,61,5.15,-186,57,-3.26,9428,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6170,N,M,SCULPTOR,N,239,1987-04-20,4,NA,CB,Duke Lemur Center,3,103,1987-01-07,1,5630,HIMALIA,VRUB,1981-05-19,5.64,5790,JOVE,VRUB,1983-04-27,3.7,2017-04-15,30.01,NA,NA,30.01,NA,NA,3486,1992-04-15,4,1822,260.29,59.9,59,4.99,203,70,2.9,9131,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6171,N,F,MIMOSA II,N,240,1987-04-20,4,NA,CB,Duke Lemur Center,3,103,1987-01-07,1,5630,HIMALIA,VRUB,1981-05-19,5.64,5790,JOVE,VRUB,1983-04-27,3.7,2012-05-18,25.1,NA,NA,25.1,NA,NA,1661,1987-08-13,8,115,16.43,3.78,3,0.32,NA,NA,NA,9045,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,6173,N,F,BERENICES,N,252,1987-04-27,4,NA,CB,Duke Lemur Center,2,103,1987-01-14,1,5900,CARME,VRUB,1984-04-29,2.71,5768,CASTOR,VRUB,1983-04-16,3.75,2006-03-01,18.86,NA,NA,18.86,NA,NA,4031,1988-11-03,11,556,79.43,18.28,18,1.52,NA,NA,NA,6327,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,6174,N,F,MUSCA,N,253,1987-04-27,4,NA,CB,Duke Lemur Center,2,103,1987-01-14,1,5900,CARME,VRUB,1984-04-29,2.71,5768,CASTOR,VRUB,1983-04-16,3.75,2009-07-16,22.24,NA,NA,22.24,NA,NA,3596,1988-11-03,11,556,79.43,18.28,18,1.52,NA,NA,NA,7560,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,6176,N,M,AKAKO,N,1256,1987-04-30,4,NA,CB,Duke Lemur Center,1,120,1986-12-31,12,5841,BARBAROSA,ERUF,1984-03-16,2.79,MULT2,NA,NA,NA,NA,2006-10-21,19.49,NA,NA,19.49,NA,NA,2243,1990-05-31,5,1127,161,37.05,37,3.09,-167,195,-0.86,5987,1.55,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6200,N,F,AURELIA,N,138,1987-12-08,12,NA,CB,Duke Lemur Center,1,160,1987-07-01,7,5703,CORNELIA,PCOQ,1977-07-01,10.01,5944,TRAJAN,PCOQ,1980-07-01,7,1991-07-12,3.59,NA,NA,3.59,NA,NA,1571,1988-07-28,7,233,33.29,7.66,7,0.64,NA,NA,NA,1079,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
PCOQ,6207,N,M,Tiberius,N,140,1988-01-20,1,NA,CB,Duke Lemur Center,1,160,1987-08-13,8,6109,OCTAVIA,PCOQ,1982-07-01,5.12,5945,HADRIAN,PCOQ,1982-07-01,5.12,2016-04-01,28.22,NA,NA,28.22,18,NA,3850,1995-05-15,5,2672,381.71,87.85,87,7.32,-20,17,-1.18,7627,2.64,adult,NP,NA,NA,NA,NA,NA,NA
ERUF,6232,N,F,SINDHI,N,1302,1988-04-21,4,NA,CB,Duke Lemur Center,1,120,1987-12-23,12,6055,FLARE,ERUF,1986-03-19,1.76,MULT2,NA,NA,NA,NA,1991-06-24,3.18,NA,NA,3.18,1,NA,2240,1989-11-17,11,575,82.14,18.9,18,1.58,NA,NA,NA,584,1.55,young_adult,P,120,1989-10-24,1990-02-21,96,0.8,1
VRUB,6240,N,M,Borealis,Y,287,1988-04-30,4,NA,CB,Duke Lemur Center,3,103,1988-01-18,1,5587,CYNTHIA,VRUB,1981-03-30,6.81,5768,CASTOR,VRUB,1983-04-16,4.76,NA,NA,30.79,NA,30.79,2,NA,3590,1995-10-06,10,2715,387.86,89.26,89,7.44,240,78,3.08,NA,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6241,N,M,TROMDENUS,N,288,1988-04-30,4,NA,CB,Duke Lemur Center,3,103,1988-01-18,1,5587,CYNTHIA,VRUB,1981-03-30,6.81,5768,CASTOR,VRUB,1983-04-16,4.76,2008-03-18,19.9,NA,NA,19.9,9,NA,3370,1998-01-20,1,3552,507.43,116.78,116,9.73,-30,71,-0.42,3710,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6242,N,F,CORONA,N,289,1988-04-30,4,NA,CB,Duke Lemur Center,3,103,1988-01-18,1,5587,CYNTHIA,VRUB,1981-03-30,6.81,5768,CASTOR,VRUB,1983-04-16,4.76,2004-02-15,15.81,NA,NA,15.81,NA,NA,3165,1991-12-04,12,1313,187.57,43.17,43,3.6,-222,79,-2.81,4456,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6245,N,M,JOVEN,N,294,1988-05-03,5,NA,CB,Duke Lemur Center,2,103,1988-01-21,1,5630,HIMALIA,VRUB,1981-05-19,6.68,5790,JOVE,VRUB,1983-04-27,4.74,2013-08-02,25.27,NA,NA,25.27,NA,NA,3410,1992-09-04,9,1585,226.43,52.11,52,4.34,-150,85,-1.76,7637,1.65,adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6273,N,F,LUCIA,N,142,1989-03-15,3,NA,CB,Duke Lemur Center,1,160,1988-10-06,10,6109,OCTAVIA,PCOQ,1982-07-01,6.27,5945,HADRIAN,PCOQ,1982-07-01,6.27,1999-10-03,10.56,NA,NA,10.56,8,NA,3950,1994-03-15,3,1826,260.86,60.03,60,5,70,68,1.03,2028,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
ERUF,6282,N,F,APPLE,N,1324,1989-03-16,3,NA,CB,Duke Lemur Center,2,120,1988-11-16,11,5783,RED LAKE,ERUF,1983-04-24,5.57,6137,FLASH,ERUF,1987-03-18,1.67,NA,NA,NA,1.31,1.31,NA,NA,1701,1989-11-17,11,246,35.14,8.09,8,0.67,NA,NA,NA,NA,1.55,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,6287,N,M,RAGE,N,1327,1989-03-19,3,NA,CB,Duke Lemur Center,1,120,1988-11-19,11,5841,BARBAROSA,ERUF,1984-03-16,4.68,5529,SORREL,ERUF,1980-04-27,8.57,2002-12-10,13.74,NA,NA,13.74,NA,NA,2020,1999-03-16,3,3649,521.29,119.97,119,10,-130,54,-2.41,1365,1.55,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6303,N,F,CERES,N,339,1989-04-18,4,NA,CB,Duke Lemur Center,3,103,1989-01-05,1,5587,CYNTHIA,VRUB,1981-03-30,7.78,5629,PHOENIX,VRUB,1981-05-19,7.64,2012-01-31,22.8,NA,NA,22.8,NA,NA,2820,1990-11-14,11,575,82.14,18.9,18,1.58,NA,NA,NA,7748,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,6304,N,F,INDUS,N,340,1989-04-18,4,NA,CB,Duke Lemur Center,3,103,1989-01-05,1,5587,CYNTHIA,VRUB,1981-03-30,7.78,5629,PHOENIX,VRUB,1981-05-19,7.64,1998-09-30,9.46,NA,NA,9.46,NA,NA,2869,1991-05-31,5,773,110.43,25.41,25,2.12,-163,198,-0.82,2679,1.65,young_adult,NP,NA,NA,NA,NA,NA,NA
ERUF,6306,N,M,RORY,N,1337,1989-04-18,4,NA,CB,Duke Lemur Center,1,120,1988-12-19,12,1512,HEME,ERUF,1972-03-08,16.79,MULT2,NA,NA,NA,NA,NA,NA,NA,29.64,29.64,NA,NA,2290,1998-01-27,1,3206,458,105.4,105,8.78,-190,176,-1.08,NA,1.55,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6309,N,M,SEXTANS,N,341,1989-04-22,4,NA,CB,Duke Lemur Center,3,103,1989-01-09,1,5900,CARME,VRUB,1984-04-29,4.7,5698,HERMES,VRUB,1982-05-08,6.68,2006-09-18,17.42,NA,NA,17.42,NA,NA,3392,1990-12-15,12,602,86,19.79,19,1.65,37,66,0.56,5756,1.65,IJ,NP,NA,NA,NA,NA,NA,NA
VRUB,6310,N,M,Alphard,N,342,1989-04-22,4,NA,CB,Duke Lemur Center,3,103,1989-01-09,1,5900,CARME,VRUB,1984-04-29,4.7,5698,HERMES,VRUB,1982-05-08,6.68,2013-03-13,23.91,NA,NA,23.91,5,NA,2980,1995-01-18,1,2097,299.57,68.94,68,5.75,-120,36,-3.33,6629,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6311,N,F,Antlia,N,343,1989-04-22,4,NA,CB,Duke Lemur Center,3,103,1989-01-09,1,5900,CARME,VRUB,1984-04-29,4.7,5698,HERMES,VRUB,1982-05-08,6.68,2018-08-06,29.31,NA,NA,29.31,NA,NA,3970,1997-05-01,5,2931,418.71,96.36,96,8.03,130,85,1.53,7767,1.65,adult,NP,NA,NA,NA,NA,NA,NA
VRUB,6313,N,F,PEACOCK,N,351,1989-04-29,4,NA,CB,Duke Lemur Center,1,103,1989-01-16,1,6205,Galaxy,VRUB,1984-10-01,4.3,6206,Comet,VRUB,1984-10-01,4.3,2013-06-06,24.12,NA,NA,24.12,1,NA,4440,1991-05-03,5,734,104.86,24.13,24,2.01,636,193,3.3,8070,1.65,young_adult,P,103,1991-01-22,1991-05-05,2,0.019417476,1
PCOQ,6333,N,M,CONSTANTINE,N,143,1989-12-28,12,NA,CB,Duke Lemur Center,1,160,1989-07-21,7,5703,CORNELIA,PCOQ,1977-07-01,12.06,5944,TRAJAN,PCOQ,1980-07-01,9.06,NA,NA,29.13,NA,29.13,21,NA,3530,1995-03-14,3,1902,271.71,62.53,62,5.21,-300,105,-2.86,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6334,N,M,FLAVIA-A,N,144,1990-01-17,1,NA,CB,Duke Lemur Center,1,160,1989-08-10,8,6108,FLAVIA,PCOQ,1982-07-01,7.12,597,NIGEL,PCOQ,1972-02-10,17.51,1990-03-19,0.17,NA,NA,0.17,NA,NA,182,1990-03-19,3,61,8.71,2.01,2,0.17,98,60,1.63,0,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
PCOQ,6336,N,F,CLAUDIA,N,145,1990-02-20,2,NA,CB,Duke Lemur Center,1,160,1989-09-13,9,6109,OCTAVIA,PCOQ,1982-07-01,7.21,5945,HADRIAN,PCOQ,1982-07-01,7.21,1992-05-16,2.24,NA,NA,2.24,NA,NA,1149,1990-07-16,7,146,20.86,4.8,4,0.4,1052,146,7.2,670,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
ERUF,6350,N,M,REDBEARD,N,1356,1990-03-19,3,NA,CB,Duke Lemur Center,2,120,1989-11-19,11,5783,RED LAKE,ERUF,1983-04-24,6.58,MULT3,NA,NA,NA,NA,NA,NA,NA,5.94,5.94,NA,NA,1730,1996-02-23,2,2167,309.57,71.24,71,5.94,50,24,2.08,NA,1.55,adult,NP,NA,NA,NA,NA,NA,NA
